ESTADO,SCORE_ADVANCE,EXPERIENCIA_SF,BGI60_12,NUMCUENTASINBB,ANTIGUEDADMAXIMAPASIVOS,MAXIMAANTIGUEDADCTASABIERTAS,NUMSUSCRIPTORSECTORFINAN,MAXIATRASOU12MSECREAL,MAXANTIGCARTERASCERRADASU12M,MINIMAANTIGUEDADCTASCERRADAS,ANTIGUEDADMAXIMACREDITO,CONTMORA30SECREALU12M,VLR_COUTA_DATACREDITO,PORCENTAJEDECUENTASALDIA,VTAR_PROMEDIOLIMITES,VREAL_SUMASALDOACTUAL,VPRO_ENDSISTEMASINBB
b'APROBADO',611.0,b'Cliente Sin Experiencia',0.0,3.0,29.0,11.0,1.0,0.0,-999.0,-999.0,-999.0,0.0,469000.0,100.0,0.0,276000.0,-999.0
b'APROBADO',749.0,b'Cliente Con Experiencia',0.0,3.0,47.0,12.0,1.0,-999.0,-999.0,-999.0,12.0,-999.0,339000.0,100.0,1000000.0,-999.0,804800.0
b'APROBADO',803.0,b'Cliente Con Experiencia',1.0,5.0,115.0,13.0,1.0,0.0,-999.0,-999.0,13.0,0.0,1576000.0,100.0,2585000.0,1722000.0,1782000.0
b'APROBADO',748.0,b'Cliente Sin Experiencia',0.0,5.0,52.0,3.0,1.0,0.0,-999.0,-999.0,27.0,0.0,684000.0,100.0,2500000.0,30000.0,500000.0
b'APROBADO',721.0,b'Cliente Sin Experiencia',0.0,5.0,48.0,8.0,2.0,0.0,-999.0,-999.0,35.0,0.0,131000.0,100.0,0.0,0.0,1480000.0
b'APROBADO',698.0,b'Cliente Con Experiencia',0.0,4.0,36.0,12.0,4.0,0.0,4.0,3.0,12.0,0.0,501000.0,100.0,1158000.0,397000.0,3046000.0
b'APROBADO',798.0,b'Cliente Con Experiencia',0.0,4.0,60.0,12.0,1.0,0.0,-999.0,-999.0,12.0,0.0,176000.0,100.0,2500000.0,4114000.0,793600.0
b'APROBADO',4.0,b'Cliente Sin Experiencia',1.0,2.0,122.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,413000.0,100.0,0.0,-999.0,-999.0
b'APROBADO',633.0,b'Cliente Sin Experiencia',0.0,8.0,14.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,85000.0,100.0,0.0,85000.0,-999.0
b'APROBADO',735.0,b'Cliente Con Experiencia',0.0,1.0,27.0,16.0,2.0,-999.0,-999.0,-999.0,16.0,-999.0,798000.0,100.0,4900000.0,-999.0,15110600.0
b'APROBADO',766.0,b'Cliente Sin Experiencia',0.0,5.0,48.0,4.0,1.0,0.0,4.0,3.0,7.0,0.0,281000.0,100.0,2900000.0,3090000.0,1359200.0
b'APROBADO',695.0,b'Cliente Sin Experiencia',0.0,1.0,31.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
